Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-BC Loss,train-epoch_duration
-65.0,0.0,0.0,0.17372240850851825,0.0,0.0,0.0,0.0,0.0,0.17373754891034482,0.0,0.0,0.0,0.0,0.24144124537706374,1.1687989234924316,0.24006586864590646,43.59267592430115
-65.0,0.0,0.0,0.20298510096724898,0.0,0.0,0.0,0.0,0.09538461538461539,0.20227861001672104,0.0,0.09538461538461539,0.015384615384615385,0.0,0.1580410659313202,1.1692008972167969,0.21461146034300327,43.472289085388184
-65.0,0.0,0.0,0.16995686049111,0.0,0.0,0.0,0.0,0.10153846153846154,0.16915498303346432,0.0,0.10153846153846154,0.024615384615384615,0.0,0.08328576162457466,1.1712441444396973,0.10464399758726359,43.48948669433594
-65.0,0.0,0.8,0.15808045175956387,0.2,0.8,0.4,0.0,0.6153846153846154,0.19124449149113307,0.006153846153846154,0.6153846153846154,0.1753846153846154,0.0,0.09704466871917247,1.172055959701538,0.08406204268336297,43.53021693229675
-65.0,0.0,0.6,0.19576745926420658,0.0,0.6,0.0,0.0,0.5323076923076923,0.19523828806441818,0.0,0.5323076923076923,0.0,0.0,0.08661977052688599,1.1696419715881348,0.07521315544843674,43.52269959449768
-65.0,0.0,0.4,0.23269993458802402,0.0,0.4,0.4,0.0,0.48615384615384616,0.20559162382523385,0.0,0.48615384615384616,0.22153846153846155,0.0,0.09099379032850266,1.1684908866882324,0.0745456226170063,43.51311683654785
-65.0,0.0,0.6,0.17881632424484764,0.2,0.6,0.4,0.0,0.5507692307692308,0.18670202139595268,0.015384615384615385,0.5507692307692308,0.2676923076923077,0.0,0.07108178921043873,1.168283224105835,0.068934680595994,43.531259298324585
-63.6,0.2,0.8,0.1846092962243739,0.2,0.8,0.6,0.2,0.84,0.20945244654131898,0.052307692307692305,0.84,0.3507692307692308,0.021538461538461538,0.08081437945365906,1.1715378761291504,0.064954166226089,43.515790700912476
-65.0,0.0,0.0,0.17213332990417035,0.0,0.0,0.0,0.0,0.10461538461538461,0.18747428219043644,0.0,0.10461538461538461,0.033846153846153845,0.0,0.07465937621891498,1.169708013534546,0.06174968123435974,43.5108699798584
-65.0,0.0,1.0,0.16045986402887785,0.2,1.0,1.0,0.0,0.8984615384615384,0.20036016829444395,0.043076923076923075,0.8984615384615384,0.5353846153846153,0.0,0.060867689177393915,1.1686320304870605,0.06054841052740812,43.498023986816406
