Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-epoch_duration
-65.0,0.0,0.0,0.19009572216111428,0.0,0.0,0.2,0.0,0.0,0.1900954687186361,0.0,0.0,0.2,0.0,0.23885825628584081,1.1706960201263428,44.08824110031128
-65.0,0.0,0.0,0.17983105879521427,0.0,0.0,0.2,0.0,0.16923076923076924,0.17982471571766998,0.0,0.16923076923076924,0.2,0.0,0.2075933723287149,1.1699550151824951,43.54123902320862
-65.0,0.0,0.0,0.20806766761880868,0.0,0.0,0.8,0.0,0.03076923076923077,0.20776610166321727,0.0,0.03076923076923077,0.8,0.0,0.11691317727619951,1.1796259880065918,43.78978204727173
-65.0,0.0,0.0,0.1797759559643414,0.0,0.0,0.4,0.0,0.15384615384615385,0.1787700464961339,0.0,0.15384615384615385,0.4,0.0,0.09913495870476419,1.1703617572784424,43.774446964263916
-65.0,0.0,0.0,0.18458230431850492,0.0,0.0,0.6,0.0,0.015384615384615385,0.18432053348424893,0.0,0.015384615384615385,0.6,0.0,0.0869030686603351,1.1849262714385986,43.77940607070923
-65.0,0.0,0.6,0.27720499155374567,0.0,0.6,0.6,0.0,0.5415384615384615,0.22105201589648357,0.0,0.5415384615384615,0.24307692307692308,0.0,0.08024523718790574,1.1765830516815186,43.90078616142273
-65.0,0.0,0.0,0.16999900265843748,0.0,0.0,0.0,0.0,0.20307692307692307,0.17816477143610948,0.0,0.20307692307692307,0.18461538461538463,0.0,0.07537513487040996,1.1688761711120605,43.53785800933838
-65.0,0.0,0.2,0.17326398961164213,0.0,0.2,0.8,0.0,0.40615384615384614,0.1818265698615197,0.0,0.40615384615384614,0.7569230769230769,0.0,0.07162650843912904,1.1703002452850342,43.65039682388306
-61.8,0.2,0.0,0.14822896616525544,0.2,0.0,0.6,0.2,0.021538461538461538,0.1805984097957643,0.06153846153846154,0.021538461538461538,0.4430769230769231,0.04923076923076923,0.06797082684934139,1.1694130897521973,43.52655601501465
-60.8,0.2,0.0,0.14624540676219666,0.0,0.0,0.2,0.2,0.3169230769230769,0.1657464666329995,0.021538461538461538,0.3169230769230769,0.27692307692307694,0.06461538461538462,0.0645469127392227,1.17010498046875,43.53352189064026
-60.0,0.4,0.4,0.17132678701371531,0.4,0.4,0.8,0.4,0.4707692307692308,0.20239382523805063,0.14461538461538462,0.4707692307692308,0.76,0.07692307692307693,0.0651170856573365,1.1698858737945557,43.760411739349365
-65.0,0.0,0.0,0.17360442834765893,0.0,0.0,0.2,0.0,0.23692307692307693,0.18851782520001237,0.0,0.23692307692307693,0.2,0.0,0.06558101067150181,1.1713621616363525,43.54129695892334
-57.6,0.2,0.0,0.11753450415741565,0.2,0.0,0.6,0.2,0.2123076923076923,0.14381912646786593,0.1076923076923077,0.2123076923076923,0.41846153846153844,0.11384615384615385,0.05658875910395926,1.1700439453125,43.549309968948364
-60.2,0.2,0.0,0.16748644747486913,0.2,0.0,0.4,0.2,0.2276923076923077,0.18029700135181545,0.08615384615384615,0.2276923076923077,0.3507692307692308,0.07384615384615385,0.06327022043141452,1.1689469814300537,43.520671129226685
-65.0,0.0,0.0,0.20486164476977056,0.0,0.0,0.6,0.0,0.024615384615384615,0.19618948291861957,0.0,0.024615384615384615,0.5969230769230769,0.0,0.05709394057365981,1.1706631183624268,43.51645827293396
-62.6,0.4,0.2,0.1555988608670514,0.2,0.2,0.6,0.4,0.3353846153846154,0.18593375235638182,0.046153846153846156,0.3353846153846154,0.40307692307692305,0.036923076923076927,0.054164366627281364,1.1689541339874268,43.520400047302246
-65.0,0.0,0.2,0.17061770951074157,0.0,0.2,0.6,0.0,0.28,0.1722644519499084,0.0,0.28,0.3507692307692308,0.0,0.05161431958390908,1.1690409183502197,43.522329807281494
