Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-BC Loss,train-epoch_duration
-65.0,0.0,0.0,0.18160875149674255,0.0,0.0,0.0,0.0,0.0,0.18161617261078228,0.0,0.0,0.0,0.0,0.22384660840034484,1.168699026107788,0.24030573919415474,43.59622097015381
-65.0,0.0,0.0,0.17797732671532446,0.0,0.0,0.0,0.0,0.19076923076923077,0.17715823155749266,0.0,0.19076923076923077,0.0,0.0,0.0799722582101822,1.1698360443115234,0.17010339736938476,43.546525716781616
-65.0,0.0,0.0,0.17532236387085995,0.0,0.0,0.0,0.0,0.2123076923076923,0.1753266697830104,0.0,0.2123076923076923,0.0,0.0,0.08375744856894016,1.1828219890594482,0.08944407042115926,43.636547803878784
-65.0,0.0,0.0,0.20705250607600373,0.0,0.0,0.0,0.0,0.2123076923076923,0.19142728207804527,0.0,0.2123076923076923,0.033846153846153845,0.0,0.08432710021734238,1.186833143234253,0.0831308899447322,44.21951723098755
-64.4,0.2,0.2,0.17605518370841747,0.2,0.2,0.4,0.2,0.23384615384615384,0.19397137272480977,0.012307692307692308,0.23384615384615384,0.35384615384615387,0.009230769230769232,0.08106009252369403,1.1798710823059082,0.07373074393719435,43.79735088348389
-50.6,1.0,0.2,0.06402413162215982,1.0,0.2,1.0,1.0,0.6338461538461538,0.1456237653159159,0.41846153846153844,0.6338461538461538,0.7292307692307692,0.22153846153846155,0.07215283028781413,1.1831130981445312,0.07500406540930271,44.03054690361023
-65.0,0.0,0.6,0.21297161049537067,0.0,0.6,0.6,0.0,0.5907692307692308,0.2083413851039767,0.0,0.5907692307692308,0.2953846153846154,0.0,0.06490698531270027,1.176037073135376,0.06834715077653528,43.70285105705261
-65.0,0.0,0.4,0.16372151332188742,0.0,0.4,0.0,0.0,0.7723076923076924,0.16725568526946077,0.0,0.7723076923076924,0.11692307692307692,0.0,0.06607093401253224,1.1703660488128662,0.06293230518698692,43.566235303878784
-65.0,0.0,0.4,0.16175612407422568,0.0,0.4,0.4,0.0,0.4646153846153846,0.17407883225126317,0.0,0.4646153846153846,0.20615384615384616,0.0,0.06400605626404285,1.1715788841247559,0.05851540947332978,43.52176594734192
-65.0,0.0,0.4,0.1916765986551431,0.0,0.4,0.4,0.0,0.26153846153846155,0.19999441743263235,0.0,0.26153846153846155,0.17846153846153845,0.0,0.057727843150496484,1.1731059551239014,0.05914233852177858,43.5547399520874
