Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-epoch_duration
-65.0,0.0,0.0,0.19330195458709867,0.0,0.0,0.4,0.0,0.0,0.19314133759317054,0.0,0.0,0.4,0.0,0.18315726755694908,1.2067418098449707,44.42773079872131
-65.0,0.0,0.0,0.209132552560393,0.0,0.0,0.0,0.0,0.13846153846153847,0.20923610396179435,0.0,0.13846153846153847,0.0,0.0,0.05765566802160307,1.1871910095214844,44.03259086608887
-65.0,0.0,0.2,0.21892142600883652,0.0,0.2,0.8,0.0,0.18153846153846154,0.21566189012538622,0.0,0.18153846153846154,0.6123076923076923,0.0,0.04480235175314275,1.1747210025787354,44.070255756378174
-58.0,0.4,0.4,0.1175019943292864,0.4,0.4,0.6,0.4,0.2923076923076923,0.16909288166668493,0.14153846153846153,0.2923076923076923,0.3569230769230769,0.1076923076923077,0.03416591616008769,1.1741950511932373,43.46564698219299
-62.8,0.2,0.2,0.15619084840379097,0.2,0.2,0.6,0.2,0.29846153846153844,0.1724754021738279,0.06153846153846154,0.29846153846153844,0.48307692307692307,0.033846153846153845,0.02993021885949102,1.1763701438903809,43.62111210823059
-60.4,0.4,0.6,0.1217966187337038,0.2,0.6,0.4,0.4,0.5876923076923077,0.16979149137874042,0.046153846153846156,0.5876923076923077,0.37538461538461537,0.07076923076923076,0.021132906251163645,1.1753032207489014,43.75630593299866
-57.8,0.2,0.4,0.15714259172103978,0.2,0.4,0.8,0.2,0.56,0.175679600233988,0.09538461538461539,0.56,0.6215384615384615,0.11076923076923077,0.016347267347472636,1.1893231868743896,43.65310788154602
-62.8,0.2,0.6,0.16157865226874704,0.2,0.6,0.6,0.2,0.42153846153846153,0.18007038939967995,0.027692307692307693,0.42153846153846153,0.5384615384615384,0.033846153846153845,0.015180196850137277,1.1999199390411377,44.039944887161255
-65.0,0.0,0.4,0.17872092015360036,0.0,0.4,0.4,0.0,0.3261538461538461,0.18314412884113282,0.0,0.3261538461538461,0.4,0.0,0.0162123652132736,1.1780869960784912,43.97033405303955
-65.0,0.0,0.0,0.18061549966535098,0.0,0.0,0.4,0.0,0.18461538461538463,0.19005348230483807,0.0,0.18461538461538463,0.4,0.0,0.019823500200767407,1.1756033897399902,43.60284399986267
-59.4,0.2,0.4,0.17452038068576142,0.2,0.4,0.6,0.2,0.28615384615384615,0.19431612118538263,0.08,0.28615384615384615,0.6030769230769231,0.08615384615384615,0.013323345683007078,1.174513816833496,43.58168315887451
-59.4,0.2,0.0,0.21893175983206947,0.0,0.0,0.8,0.2,0.31384615384615383,0.20815944917450313,0.006153846153846154,0.31384615384615383,0.7569230769230769,0.08615384615384615,0.012758101235059174,1.2595651149749756,44.23364996910095
-63.4,0.2,0.4,0.1751649230807868,0.2,0.4,0.4,0.2,0.2923076923076923,0.20385993741178968,0.06461538461538462,0.2923076923076923,0.5046153846153846,0.024615384615384615,0.009522040710064836,1.174772024154663,43.65106821060181
-55.0,0.4,0.2,0.11831832271060225,0.4,0.2,0.6,0.4,0.4369230769230769,0.15296899807089565,0.17846153846153845,0.4369230769230769,0.49846153846153846,0.15384615384615385,0.009108860255219042,1.1998929977416992,43.78324890136719
-57.6,0.4,0.4,0.3858893235651803,0.4,0.4,0.6,0.4,0.4307692307692308,0.19680081365151908,0.19076923076923077,0.4307692307692308,0.7476923076923077,0.11384615384615385,0.008693471212278713,1.2294316291809082,44.70010304450989
-64.8,0.2,0.4,0.19727412910383596,0.2,0.4,0.6,0.2,0.4430769230769231,0.21650466142548688,0.003076923076923077,0.4430769230769231,0.39692307692307693,0.003076923076923077,0.007112270810599015,1.1846058368682861,43.738961935043335
-65.0,0.0,0.0,0.19084615950123682,0.0,0.0,0.4,0.0,0.04923076923076923,0.20457594510772262,0.0,0.04923076923076923,0.4,0.0,0.008123069729613647,1.1861131191253662,43.98800086975098
-63.0,0.2,0.6,0.17416655987409313,0.0,0.6,0.0,0.2,0.5784615384615385,0.1979564441975565,0.009230769230769232,0.5784615384615385,0.06769230769230769,0.03076923076923077,0.00795547118600966,1.1751348972320557,44.00115084648132
