Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-epoch_duration
-65.0,0.0,0.0,0.18237201993093216,0.0,0.0,0.2,0.0,0.0,0.18236781812980882,0.0,0.0,0.2,0.0,0.23392378362742336,1.170501947402954,43.45283889770508
-65.0,0.0,0.4,0.1906360681617108,0.0,0.4,0.2,0.0,0.39384615384615385,0.1875791768598073,0.0,0.39384615384615385,0.2,0.0,0.1373014046387239,1.1696319580078125,43.50160098075867
-65.0,0.0,0.0,0.20787634359895538,0.0,0.0,0.0,0.0,0.06461538461538462,0.20786581979917038,0.0,0.06461538461538462,0.0,0.0,0.09654224606400186,1.170461893081665,43.50816202163696
-63.2,0.2,0.6,0.16261678751584416,0.2,0.6,0.6,0.2,0.5907692307692308,0.18369967877970098,0.027692307692307693,0.5907692307692308,0.4369230769230769,0.027692307692307693,0.08228318159553137,1.170093059539795,43.50667405128479
-65.0,0.0,0.0,0.18630067661386934,0.0,0.0,0.4,0.0,0.13846153846153847,0.18628470499178032,0.0,0.13846153846153847,0.4,0.0,0.07297941207547079,1.17116117477417,43.494693994522095
-65.0,0.0,0.2,0.18770716773436064,0.0,0.2,0.6,0.0,0.40615384615384614,0.18784230086048598,0.0,0.40615384615384614,0.5138461538461538,0.0,0.07300224002789367,1.170135736465454,43.52802801132202
-65.0,0.0,0.2,0.19141621959670138,0.0,0.2,0.4,0.0,0.39384615384615385,0.18382122198493808,0.0,0.39384615384615385,0.38769230769230767,0.0,0.07104280330240727,1.1696999073028564,43.50870084762573
-65.0,0.0,0.6,0.197917285252186,0.0,0.6,0.2,0.0,0.5107692307692308,0.19680406635265343,0.0,0.5107692307692308,0.2,0.0,0.06709612523290244,1.1691741943359375,43.51986789703369
-65.0,0.0,0.2,0.17491788841693773,0.0,0.2,0.4,0.0,0.38769230769230767,0.17840823718750468,0.0,0.38769230769230767,0.3723076923076923,0.0,0.06259208704260262,1.1692111492156982,43.52319407463074
-65.0,0.0,0.4,0.20739407855789546,0.0,0.4,0.4,0.0,0.38461538461538464,0.20864212979321906,0.0,0.38461538461538464,0.3292307692307692,0.0,0.06664470291950486,1.1697769165039062,43.51606202125549
-65.0,0.0,0.6,0.21205881686436845,0.0,0.6,0.8,0.0,0.5323076923076923,0.21481501247409338,0.0,0.5323076923076923,0.8,0.0,0.060667370683090256,1.169957160949707,43.544517993927
-65.0,0.0,0.0,0.18192352968046704,0.0,0.0,0.4,0.0,0.16,0.18155442687661374,0.0,0.16,0.4,0.0,0.059014800732786005,1.1702821254730225,43.52304172515869
-65.0,0.0,0.0,0.19750932678097527,0.0,0.0,0.4,0.0,0.27076923076923076,0.19469579631149048,0.0,0.27076923076923076,0.3046153846153846,0.0,0.05774717012589628,1.1692490577697754,43.53201222419739
-63.8,0.2,0.4,0.16108081865881715,0.4,0.4,0.6,0.2,0.5753846153846154,0.1857216255065176,0.1476923076923077,0.5753846153846154,0.4553846153846154,0.018461538461538463,0.06033515313809568,1.1700282096862793,43.54340124130249
-65.0,0.0,0.0,0.17498948010992,0.0,0.0,0.2,0.0,0.055384615384615386,0.17546020765518733,0.0,0.055384615384615386,0.22153846153846155,0.0,0.05280846601182764,1.170395851135254,43.51507902145386
-65.0,0.0,0.6,0.1604919230548965,0.0,0.6,0.6,0.0,0.4430769230769231,0.18899189348026182,0.0,0.4430769230769231,0.4707692307692308,0.0,0.057502689229493795,1.1694300174713135,43.57737398147583
-57.4,0.4,0.2,0.14179624940076513,0.4,0.2,0.8,0.4,0.40615384615384614,0.1756602472617738,0.1723076923076923,0.40615384615384614,0.68,0.11692307692307692,0.052422327040271326,1.1695852279663086,43.521913290023804
-65.0,0.0,0.2,0.1936200557708025,0.0,0.2,0.4,0.0,0.28923076923076924,0.1882796302253544,0.0,0.28923076923076924,0.3446153846153846,0.0,0.050547233850441194,1.1701509952545166,43.52678680419922
-65.0,0.0,0.0,0.17487978040609728,0.0,0.0,0.4,0.0,0.12,0.17528519080642369,0.0,0.12,0.4,0.0,0.050992840850217776,1.169715166091919,43.523595094680786
-60.6,0.2,0.4,0.14849187563388697,0.0,0.4,0.4,0.2,0.6030769230769231,0.17717337420780313,0.0,0.6030769230769231,0.40307692307692305,0.06769230769230769,0.0544865421442823,1.1704211235046387,43.514403104782104
-65.0,0.0,0.6,0.2020242929929421,0.0,0.6,0.2,0.0,0.6276923076923077,0.2019471109544682,0.0,0.6276923076923077,0.24923076923076923,0.0,0.050109492513266476,1.1701998710632324,43.53525996208191
-65.0,0.0,0.0,0.21136153521853768,0.0,0.0,0.2,0.0,0.3292307692307692,0.20081745261647824,0.0,0.3292307692307692,0.23692307692307693,0.0,0.04831094670702111,1.1700520515441895,43.54904389381409
-65.0,0.0,0.0,0.16774931691734624,0.0,0.0,0.6,0.0,0.23384615384615384,0.17537311010007206,0.0,0.23384615384615384,0.6,0.0,0.04868591893464327,1.1696350574493408,43.5501868724823
-60.6,0.2,0.6,0.15784204940321092,0.2,0.6,0.8,0.2,0.6153846153846154,0.17966003279947043,0.08615384615384615,0.6153846153846154,0.5723076923076923,0.06769230769230769,0.04760827496647835,1.1703062057495117,43.53723978996277
-65.0,0.0,0.2,0.20347951122580912,0.0,0.2,0.4,0.0,0.24,0.21680520594413188,0.0,0.24,0.38461538461538464,0.0,0.051282241991297765,1.1703159809112549,43.54823112487793
