Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-BC Loss,train-epoch_duration
-65.0,0.0,0.0,0.19485449414267858,0.0,0.0,0.0,0.0,0.0,0.19485758117195665,0.0,0.0,0.0,0.0,0.23778428733348847,1.1707382202148438,0.24000243127346038,43.67023015022278
-65.0,0.0,0.0,0.19733786718711088,0.0,0.0,0.0,0.0,0.0,0.19733678624155848,0.0,0.0,0.0,0.0,0.22846524864435197,1.1697418689727783,0.2414745931327343,43.47279405593872
-65.0,0.0,0.0,0.1821360833427444,0.0,0.0,0.0,0.0,0.0,0.1821410359368188,0.0,0.0,0.0,0.0,0.19672882705926895,1.1792550086975098,0.22580720022320747,43.49857807159424
-65.0,0.0,0.0,0.17811158840309643,0.0,0.0,0.0,0.0,0.04923076923076923,0.17811579522632603,0.0,0.04923076923076923,0.0,0.0,0.10248900651931762,1.1752700805664062,0.13418483696877956,43.822591066360474
-65.0,0.0,0.2,0.18095059307873046,0.0,0.2,0.2,0.0,0.2923076923076923,0.18936028934952645,0.0,0.2923076923076923,0.024615384615384615,0.0,0.08914218097925186,1.1757359504699707,0.0945557938888669,43.709315061569214
-65.0,0.0,0.4,0.19335477577175092,0.0,0.4,0.4,0.0,0.49846153846153846,0.18406830027211438,0.0,0.49846153846153846,0.16615384615384615,0.0,0.06276562474668027,1.1719269752502441,0.07925994414836168,43.809497117996216
-65.0,0.0,0.2,0.19641545709950636,0.0,0.2,0.2,0.0,0.2276923076923077,0.19336966640270148,0.0,0.2276923076923077,0.15692307692307692,0.0,0.06565307267010212,1.1843807697296143,0.07816680978983641,44.04362487792969
-65.0,0.0,0.0,0.17055139740596073,0.0,0.0,0.0,0.0,0.18153846153846154,0.17602736004720762,0.0,0.18153846153846154,0.024615384615384615,0.0,0.058633454516530036,1.2491230964660645,0.06969922844320536,44.67797899246216
-65.0,0.0,0.2,0.19514951774053083,0.0,0.2,0.2,0.0,0.31076923076923074,0.19357531958164223,0.0,0.31076923076923074,0.13230769230769232,0.0,0.05393478814512491,1.1916851997375488,0.06696910735219717,44.3781361579895
-65.0,0.0,0.4,0.2122564499597984,0.0,0.4,0.2,0.0,0.38769230769230767,0.19417258233003104,0.0,0.38769230769230767,0.12,0.0,0.0648074608296156,1.187445878982544,0.06973927225917578,43.90377998352051
-60.8,0.4,0.4,0.13272061748616534,0.4,0.4,0.4,0.4,0.5015384615384615,0.17226269989386908,0.08923076923076922,0.5015384615384615,0.2676923076923077,0.06461538461538462,0.06434584781527519,1.175163984298706,0.0597369065694511,43.739701986312866
-64.0,0.2,0.6,0.15793646517331267,0.4,0.6,0.8,0.2,0.7507692307692307,0.1795711275149837,0.033846153846153845,0.7507692307692307,0.39692307692307693,0.015384615384615385,0.07008858732879161,1.1757497787475586,0.06222066637128591,43.815978050231934
-65.0,0.0,0.2,0.2583818643779686,0.0,0.2,0.2,0.0,0.19692307692307692,0.2230685307256896,0.0,0.19692307692307692,0.12,0.0,0.07298789173364639,1.175987958908081,0.058158483393490314,43.61166501045227
-59.8,0.4,0.8,0.15557406875105845,0.4,0.8,0.8,0.4,0.803076923076923,0.17314291703647328,0.15384615384615385,0.803076923076923,0.48,0.08,0.06052734889090061,1.1806588172912598,0.05747842935845256,43.852848052978516
-65.0,0.0,0.2,0.18312623640690734,0.2,0.2,0.4,0.0,0.23384615384615384,0.19389947766512217,0.021538461538461538,0.23384615384615384,0.24307692307692308,0.0,0.06192486472427845,1.1719679832458496,0.05784933637827635,43.81185984611511
-60.0,0.2,0.0,0.16318108589440222,0.2,0.0,0.4,0.2,0.31384615384615383,0.1741492769522438,0.07692307692307693,0.31384615384615383,0.26153846153846155,0.07692307692307693,0.057977405935525896,1.173387050628662,0.056107753310352566,43.57257795333862
-65.0,0.0,1.0,0.20820899702935103,0.2,1.0,0.6,0.0,0.8738461538461538,0.20546183795821232,0.003076923076923077,0.8738461538461538,0.28307692307692306,0.0,0.06385465636849404,1.182676076889038,0.052169126905500886,43.89824676513672
-61.0,0.4,0.4,0.13535768256784592,0.4,0.4,0.6,0.4,0.5076923076923077,0.17981319799049875,0.055384615384615386,0.5076923076923077,0.3323076923076923,0.06153846153846154,0.05828818529844284,1.1855340003967285,0.053767789304256436,44.29714894294739
-52.4,0.8,0.8,0.1058821455337208,0.8,0.8,0.8,0.8,0.7569230769230769,0.1605895004280403,0.27384615384615385,0.7569230769230769,0.5169230769230769,0.19384615384615383,0.0603919692337513,1.186333179473877,0.05382778188213706,43.737019062042236
-59.0,0.6,0.8,0.09774339812367153,0.6,0.8,0.8,0.6,0.8461538461538461,0.17363025094654827,0.1476923076923077,0.8461538461538461,0.47692307692307695,0.09230769230769231,0.05329308658838272,1.1821491718292236,0.05080292347818613,43.69687223434448
-56.4,0.4,0.8,0.16671359868225313,0.4,0.8,0.8,0.4,0.8707692307692307,0.18283753916119636,0.17846153846153845,0.8707692307692307,0.48615384615384616,0.13230769230769232,0.05669610109180212,1.1805071830749512,0.049892050530761484,43.84647822380066
-62.2,0.2,0.6,0.17672171662466576,0.2,0.6,0.6,0.2,0.5230769230769231,0.19026020222988932,0.08615384615384615,0.5230769230769231,0.40615384615384614,0.043076923076923075,0.06285870410501956,1.175933837890625,0.04928841028362513,43.67016005516052
-57.8,0.2,1.0,0.12034761775661167,0.2,1.0,1.0,0.2,0.7261538461538461,0.18217044435382657,0.1076923076923077,0.7261538461538461,0.5323076923076923,0.11076923076923077,0.0566070768982172,1.1748459339141846,0.04910147074609995,43.58712983131409
-50.2,0.8,0.8,0.07779635379374672,0.6,0.8,1.0,0.8,0.7446153846153846,0.1478093105793621,0.23384615384615384,0.7446153846153846,0.7323076923076923,0.2276923076923077,0.05686370357871055,1.1730749607086182,0.04675349477678537,43.586928844451904
-65.0,0.0,0.8,0.14391835582042162,0.4,0.8,0.6,0.0,0.6430769230769231,0.16996440480261482,0.03076923076923077,0.6430769230769231,0.41846153846153844,0.0,0.04628175981342793,1.1720030307769775,0.045975677240639924,43.612404346466064
