Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-epoch_duration
-65.0,0.0,0.0,0.1618998211278499,0.0,0.0,0.2,0.0,0.0,0.16188296837245403,0.0,0.0,0.2,0.0,0.2259445844726129,1.1666600704193115,43.109386920928955
-65.0,0.0,0.0,0.19143593764925482,0.0,0.0,0.2,0.0,0.0,0.19144328941186944,0.0,0.0,0.2,0.0,0.22483205659822983,1.1669979095458984,42.92593789100647
-65.0,0.0,0.0,0.18625572173417962,0.0,0.0,0.2,0.0,0.0,0.1862479223171009,0.0,0.0,0.2,0.0,0.1991485252299092,1.183763027191162,44.6345899105072
-65.0,0.0,0.0,0.18613059916662852,0.0,0.0,0.0,0.0,0.16,0.189922673372314,0.0,0.16,0.04,0.0,0.1205137215893377,1.1784629821777344,43.9487681388855
-65.0,0.0,0.0,0.19412345034035178,0.0,0.0,0.2,0.0,0.04,0.1941202190427493,0.0,0.04,0.2,0.0,0.06751896578141234,1.1706397533416748,43.55035185813904
-65.0,0.0,0.0,0.21194043781230554,0.0,0.0,0.4,0.0,0.033846153846153845,0.19799104647208174,0.0,0.033846153846153845,0.4,0.0,0.055032063131643966,1.1705379486083984,43.52974796295166
-63.6,0.2,0.2,0.15500622723987373,0.4,0.2,0.8,0.2,0.29846153846153844,0.18301239808526712,0.08923076923076922,0.29846153846153844,0.5784615384615385,0.021538461538461538,0.04520018397068436,1.1716217994689941,43.561586141586304
-65.0,0.0,0.0,0.15743398224846702,0.0,0.0,0.2,0.0,0.04,0.18009389673817697,0.0,0.04,0.3169230769230769,0.0,0.03990359512919729,1.1731431484222412,43.54659104347229
-65.0,0.0,0.0,0.1799937017730228,0.0,0.0,0.2,0.0,0.08923076923076922,0.1799904865344822,0.0,0.08923076923076922,0.2,0.0,0.03510077173652297,1.1842570304870605,44.0980007648468
-54.0,0.6,0.4,0.09386265156704877,0.6,0.4,0.4,0.6,0.563076923076923,0.1465185234431465,0.2676923076923077,0.563076923076923,0.4338461538461538,0.16923076923076924,0.02949034540321339,1.1850409507751465,43.86984825134277
-63.2,0.2,0.4,0.16327248237176842,0.2,0.4,0.4,0.2,0.4276923076923077,0.18505999430598374,0.06461538461538462,0.4276923076923077,0.12,0.027692307692307693,0.03528517897410149,1.1707870960235596,43.56682014465332
-59.4,0.2,0.4,0.14863302407659829,0.2,0.4,0.6,0.2,0.47384615384615386,0.17572955525893139,0.09538461538461539,0.47384615384615386,0.4307692307692308,0.08615384615384615,0.02444567514414137,1.1711030006408691,43.55774474143982
