Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-epoch_duration
-65.0,0.0,0.0,0.1997843130246745,0.0,0.0,0.4,0.0,0.0,0.1997809328696869,0.0,0.0,0.4,0.0,0.24038949662988837,1.2075748443603516,44.594130754470825
-65.0,0.0,0.0,0.17757739050594606,0.0,0.0,0.2,0.0,0.11076923076923077,0.17752424201546058,0.0,0.11076923076923077,0.2,0.0,0.12378829033537345,1.187281847000122,44.42308211326599
-65.0,0.0,0.0,0.19446637061890776,0.0,0.0,0.0,0.0,0.07692307692307693,0.19447325488956532,0.0,0.07692307692307693,0.0,0.0,0.09456673603166234,1.175835132598877,44.18440818786621
-61.4,0.2,0.6,0.18051591929031582,0.0,0.6,0.6,0.2,0.5323076923076923,0.19820999199182796,0.0,0.5323076923076923,0.3384615384615385,0.055384615384615386,0.0791157697073438,1.1834688186645508,44.42178821563721
-65.0,0.0,0.4,0.16994716301461293,0.0,0.4,0.4,0.0,0.5046153846153846,0.19992301611814223,0.0,0.5046153846153846,0.28,0.0,0.0762790265747092,1.186434030532837,44.55332922935486
-65.0,0.0,0.2,0.19158881935086403,0.0,0.2,0.2,0.0,0.28307692307692306,0.19747394714965458,0.0,0.28307692307692306,0.2,0.0,0.0688775690103119,1.2111101150512695,44.66905188560486
-65.0,0.0,0.0,0.18033114325489444,0.0,0.0,0.8,0.0,0.08615384615384615,0.1962068545424101,0.0,0.08615384615384615,0.8,0.0,0.06806727864525534,1.179961919784546,44.34112787246704
-63.8,0.2,0.2,0.14671361236932717,0.2,0.2,0.8,0.2,0.37538461538461537,0.18979992471897977,0.006153846153846154,0.37538461538461537,0.5815384615384616,0.018461538461538463,0.06210411434823816,1.1728901863098145,44.03875112533569
-65.0,0.0,0.2,0.1911854241956389,0.0,0.2,0.6,0.0,0.23384615384615384,0.18523850465621133,0.0,0.23384615384615384,0.5261538461538462,0.0,0.05743678147819909,1.2138981819152832,44.115562915802
-62.2,0.2,0.4,0.1615998924354804,0.2,0.4,0.2,0.2,0.47692307692307695,0.18353748780428664,0.08615384615384615,0.47692307692307695,0.20923076923076922,0.043076923076923075,0.0570492053235119,1.206179141998291,44.66743016242981
-65.0,0.0,0.2,0.25841118399767804,0.0,0.2,0.8,0.0,0.23076923076923078,0.22081104256132478,0.0,0.23076923076923078,0.6430769230769231,0.0,0.05412514856593175,1.2240958213806152,44.5307719707489
-65.0,0.0,0.2,0.1806518057301465,0.0,0.2,0.6,0.0,0.2123076923076923,0.1878006338041098,0.0,0.2123076923076923,0.6,0.0,0.05041421160779216,1.2621009349822998,44.042705059051514
-58.8,0.2,0.2,0.16092188097774343,0.2,0.2,0.6,0.2,0.38461538461538464,0.177539543736908,0.09230769230769231,0.38461538461538464,0.6,0.09538461538461539,0.04726422131061554,1.182555913925171,44.30751299858093
-64.6,0.2,0.2,0.19540425368040698,0.2,0.2,0.6,0.2,0.3476923076923077,0.2081433628455201,0.052307692307692305,0.3476923076923077,0.6,0.006153846153846154,0.04597262641922994,1.1838839054107666,44.44780373573303
-65.0,0.0,0.0,0.18620036906686782,0.0,0.0,0.2,0.0,0.26153846153846155,0.1991956105402953,0.0,0.26153846153846155,0.16923076923076924,0.0,0.04597554775801572,1.1884469985961914,43.994595766067505
-65.0,0.0,0.0,0.17103989591294072,0.0,0.0,0.2,0.0,0.13846153846153847,0.16992211748327013,0.0,0.13846153846153847,0.2,0.0,0.04338198874823072,1.176527976989746,44.13887000083923
