Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-epoch_duration
-65.0,0.0,0.0,0.20587430227018005,0.0,0.0,0.2,0.0,0.0,0.20587142376501483,0.0,0.0,0.2,0.0,0.23947414742274717,1.1556169986724854,43.0614972114563
-65.0,0.0,0.0,0.1894145379866941,0.0,0.0,0.4,0.0,0.0,0.1894087717853397,0.0,0.0,0.4,0.0,0.2389962847937237,1.1644890308380127,42.965100049972534
-65.0,0.0,0.0,0.16827768132456308,0.0,0.0,0.0,0.0,0.0,0.1682758805301756,0.0,0.0,0.0,0.0,0.2026323691010475,1.166018009185791,43.08257603645325
-65.0,0.0,0.2,0.17322205654613138,0.0,0.2,0.0,0.0,0.3569230769230769,0.17338579437508797,0.0,0.3569230769230769,0.0,0.0,0.1361355377191847,1.1679410934448242,43.40939521789551
-65.0,0.0,0.0,0.17113537995901537,0.0,0.0,0.0,0.0,0.3446153846153846,0.17101263867381047,0.0,0.3446153846153846,0.024615384615384615,0.0,0.10030273727395318,1.1768298149108887,43.32985806465149
-65.0,0.0,0.0,0.16347576904265676,0.0,0.0,0.2,0.0,0.15692307692307692,0.16725223281036689,0.0,0.15692307692307692,0.3169230769230769,0.0,0.09168667657808824,1.1917388439178467,44.06561803817749
-65.0,0.0,0.0,0.18440318024561125,0.0,0.0,0.2,0.0,0.31076923076923074,0.19635348866123312,0.0,0.31076923076923074,0.16615384615384615,0.0,0.0868269549513405,1.2046918869018555,43.83150005340576
-63.6,0.2,0.2,0.1541041972164304,0.2,0.2,0.4,0.2,0.19384615384615383,0.17718439104799708,0.07692307692307693,0.19384615384615383,0.3323076923076923,0.021538461538461538,0.08277552436021242,1.1691017150878906,43.71328020095825
-61.8,0.2,0.4,0.15490716217030576,0.2,0.4,0.2,0.2,0.26153846153846155,0.17941108556783697,0.055384615384615386,0.26153846153846155,0.1076923076923077,0.04923076923076923,0.07519547062164003,1.169903039932251,43.4851610660553
-65.0,0.0,0.0,0.19167808669000638,0.0,0.0,0.4,0.0,0.04,0.19167819182685591,0.0,0.04,0.4,0.0,0.07365536638958887,1.204625129699707,43.76781511306763
-63.2,0.2,0.2,0.15543262181743153,0.2,0.2,0.4,0.2,0.48307692307692307,0.1786152337598501,0.021538461538461538,0.48307692307692307,0.47692307692307695,0.027692307692307693,0.07010639560493556,1.17311429977417,43.56589317321777
-65.0,0.0,0.4,0.13678197606993697,0.2,0.4,0.8,0.0,0.38769230769230767,0.16454121041301195,0.006153846153846154,0.38769230769230767,0.68,0.0,0.06662683927200057,1.1758949756622314,43.77315425872803
-65.0,0.0,0.0,0.18147723324489923,0.0,0.0,0.6,0.0,0.3415384615384615,0.17744344691880498,0.0,0.3415384615384615,0.5753846153846154,0.0,0.06164617447013205,1.1751689910888672,43.827431201934814
-62.0,0.2,0.4,0.17546461476850658,0.2,0.4,0.4,0.2,0.556923076923077,0.19420538550547348,0.07692307692307693,0.556923076923077,0.36615384615384616,0.046153846153846156,0.06572833261029287,1.1698107719421387,43.53279900550842
-65.0,0.0,0.4,0.1786855959869379,0.0,0.4,0.2,0.0,0.4646153846153846,0.1756302192980256,0.0,0.4646153846153846,0.31384615384615383,0.0,0.06567019566216252,1.1704840660095215,43.593074321746826
-59.6,0.4,0.4,0.16571415612206308,0.4,0.4,0.2,0.4,0.4246153846153846,0.1960468070914029,0.12307692307692308,0.4246153846153846,0.40923076923076923,0.08307692307692308,0.0621665621176362,1.2020087242126465,43.71634817123413
-65.0,0.0,0.8,0.19192406792727829,0.0,0.8,1.0,0.0,0.6184615384615385,0.21960449957996445,0.0,0.6184615384615385,0.9661538461538461,0.0,0.06225700723853978,1.2460622787475586,43.93102431297302
-59.4,0.2,0.0,0.16349934363712998,0.2,0.0,0.4,0.2,0.13230769230769232,0.17775937910408005,0.10153846153846154,0.13230769230769232,0.4,0.08615384615384615,0.05868540678850629,1.177337884902954,43.99567103385925
-65.0,0.0,0.4,0.18452702946354668,0.0,0.4,0.8,0.0,0.4276923076923077,0.18431251000268806,0.0,0.4276923076923077,0.5753846153846154,0.0,0.05800998696888035,1.1710519790649414,44.20542907714844
-64.0,0.2,0.0,0.22608621852899335,0.2,0.0,0.4,0.2,0.4369230769230769,0.19694487781932576,0.052307692307692305,0.4369230769230769,0.4553846153846154,0.015384615384615385,0.06064665041525256,1.179184913635254,43.63151693344116
-60.8,0.2,0.4,0.15771597825515168,0.2,0.4,0.2,0.2,0.42153846153846153,0.18060238755706914,0.10153846153846154,0.42153846153846153,0.38769230769230767,0.06461538461538462,0.05449581567875363,1.1753008365631104,43.815804958343506
-65.0,0.0,0.2,0.20376667237090276,0.0,0.2,0.2,0.0,0.2553846153846154,0.1854638809283045,0.0,0.2553846153846154,0.18769230769230769,0.0,0.05708812295713208,1.1697368621826172,43.536091804504395
-61.6,0.4,0.4,0.13042146387050008,0.4,0.4,0.4,0.4,0.6061538461538462,0.17253024692757613,0.09846153846153846,0.6061538461538462,0.2923076923076923,0.052307692307692305,0.05502690242772752,1.179556131362915,43.96198916435242
-60.8,0.2,0.4,0.1549441103983061,0.2,0.4,0.4,0.2,0.4492307692307692,0.1774305037087959,0.06153846153846154,0.4492307692307692,0.28615384615384615,0.06461538461538462,0.05522428657859564,1.1808817386627197,43.927887201309204
-60.8,0.2,0.2,0.16767861020661173,0.2,0.2,0.4,0.2,0.27384615384615385,0.18155134251269783,0.07692307692307693,0.27384615384615385,0.3292307692307692,0.06461538461538462,0.050721735642714934,1.170008897781372,43.56670522689819
