Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-BC Loss,train-epoch_duration
-65.0,0.0,0.0,0.2016683593534465,0.0,0.0,0.0,0.0,0.0,0.201679071201946,0.0,0.0,0.0,0.0,0.12077287286520004,1.161639928817749,0.21494143180549144,42.972764015197754
-65.0,0.0,0.0,0.21788364760408255,0.0,0.0,0.4,0.0,0.06461538461538462,0.18820448747020432,0.0,0.06461538461538462,0.24307692307692308,0.0,0.05188369788229465,1.1685810089111328,0.08735699746757745,43.05598497390747
-65.0,0.0,0.0,0.27055193753334983,0.0,0.0,0.0,0.0,0.20307692307692307,0.22781048807092047,0.0,0.20307692307692307,0.036923076923076927,0.0,0.09592799469828606,1.1686887741088867,0.049093895871192214,43.664644718170166
-65.0,0.0,0.2,0.2099011702833753,0.0,0.2,0.4,0.0,0.2953846153846154,0.19317174092665182,0.0,0.2953846153846154,0.13846153846153847,0.0,0.05502874068915844,1.174041986465454,0.038665349148213866,43.83234095573425
-65.0,0.0,0.2,0.1918627583854901,0.0,0.2,0.0,0.0,0.4,0.1979180496431509,0.0,0.4,0.12615384615384614,0.0,0.058795640245079994,1.1744699478149414,0.02659214850515127,43.89151692390442
-65.0,0.0,0.4,0.14371680893799776,0.0,0.4,0.0,0.0,0.5292307692307693,0.1570323540924629,0.0,0.5292307692307693,0.32,0.0,0.04780894424766302,1.170323133468628,0.027104183342307808,43.74910807609558
-64.6,0.2,0.0,0.15708843322634342,0.2,0.0,0.2,0.2,0.27692307692307694,0.17765759045772025,0.027692307692307693,0.27692307692307694,0.1076923076923077,0.006153846153846154,0.05008317045867443,1.170302152633667,0.021636418486014008,43.60605478286743
-65.0,0.0,0.0,0.17009693564248293,0.0,0.0,0.0,0.0,0.47384615384615386,0.17739680744148292,0.0,0.47384615384615386,0.0,0.0,0.036220520921051505,1.1802101135253906,0.019281978379003705,43.903615951538086
-64.6,0.2,0.2,0.1697478145603377,0.2,0.2,0.6,0.2,0.2676923076923077,0.19618627973521754,0.046153846153846156,0.2676923076923077,0.28615384615384615,0.006153846153846154,0.04087724387645721,1.1803209781646729,0.01900143386796117,44.061360120773315
-63.8,0.2,0.8,0.17496114481183161,0.2,0.8,0.4,0.2,0.7323076923076923,0.19493178046225332,0.052307692307692305,0.7323076923076923,0.2246153846153846,0.018461538461538463,0.04011045107617974,1.169600009918213,0.013403124772012234,43.653090953826904
-65.0,0.0,0.6,0.15378600752018717,0.2,0.6,0.8,0.0,0.5446153846153846,0.1813665646480539,0.027692307692307693,0.5446153846153846,0.25846153846153846,0.0,0.038025359995663165,1.1705029010772705,0.012826938293874263,43.59212899208069
-63.4,0.4,0.8,0.16804906633427782,0.2,0.8,0.6,0.4,0.6892307692307692,0.20991625585813747,0.033846153846153845,0.6892307692307692,0.28,0.024615384615384615,0.045651462860405445,1.172065019607544,0.011699279099702834,43.66986608505249
-63.4,0.2,0.6,0.15478604518859057,0.4,0.6,0.6,0.2,0.6061538461538462,0.1742740823600435,0.08923076923076922,0.6061538461538462,0.27692307692307694,0.024615384615384615,0.050594476610422136,1.177994966506958,0.012824119040742517,43.68588304519653
