Avg Returns,Success Rate,env-final-hand_object_aligned,env-final-obj_goal_distance,env-final-object_above_goal,env-final-object_grasped,env-final-picked_up,env-final-task_achieved,env-hand_object_aligned,env-obj_goal_distance,env-object_above_goal,env-object_grasped,env-picked_up,env-task_achieved,test-BC Loss,test-epoch_duration,train-epoch_duration
-65.0,0.0,0.0,0.19940475263283977,0.0,0.0,0.6,0.0,0.0,0.19935071474636507,0.0,0.0,0.6,0.0,0.2431200389157642,1.1685752868652344,43.46160316467285
-65.0,0.0,0.0,0.17618865922523902,0.0,0.0,0.2,0.0,0.0,0.1761627330650382,0.0,0.0,0.2,0.0,0.24290629584680903,1.1691877841949463,43.44285488128662
-65.0,0.0,0.0,0.1752966544527719,0.0,0.0,0.6,0.0,0.0,0.17527607629449274,0.0,0.0,0.6,0.0,0.23824517713351684,1.1695668697357178,43.434502840042114
-65.0,0.0,0.0,0.17422582432498704,0.0,0.0,0.4,0.0,0.04923076923076923,0.17422271663597755,0.0,0.04923076923076923,0.4,0.0,0.1715707914057103,1.1693851947784424,43.49817705154419
-65.0,0.0,0.4,0.22162353332117934,0.0,0.4,0.6,0.0,0.4492307692307692,0.20205462138777472,0.0,0.4492307692307692,0.40307692307692305,0.0,0.10156827321784064,1.1697287559509277,43.52827596664429
-65.0,0.0,0.0,0.21448634885310955,0.0,0.0,0.0,0.0,0.08307692307692308,0.21445580498937164,0.0,0.08307692307692308,0.0,0.0,0.07872364568439397,1.1688110828399658,43.522340059280396
-65.0,0.0,0.0,0.16109505347889333,0.0,0.0,0.2,0.0,0.08923076923076922,0.1645871641318277,0.0,0.08923076923076922,0.2,0.0,0.07710970582609827,1.1694629192352295,43.531522035598755
-65.0,0.0,0.6,0.18922256318679617,0.0,0.6,0.0,0.0,0.5876923076923077,0.19045757515059156,0.0,0.5876923076923077,0.1076923076923077,0.0,0.07285815072669224,1.1692140102386475,43.52868413925171
-65.0,0.0,0.0,0.1995020915255726,0.0,0.0,0.2,0.0,0.033846153846153845,0.19950367135466823,0.0,0.033846153846153845,0.2,0.0,0.06747987388887189,1.1687371730804443,43.52998900413513
-65.0,0.0,0.0,0.16312475789827058,0.0,0.0,0.4,0.0,0.08307692307692308,0.1737178345421992,0.0,0.08307692307692308,0.3353846153846154,0.0,0.0657251204279336,1.1697900295257568,43.53410029411316
-65.0,0.0,0.2,0.19220998450166457,0.2,0.2,0.4,0.0,0.28,0.20506382729116424,0.04,0.28,0.4,0.0,0.06362056071785363,1.1687037944793701,43.53126120567322
-65.0,0.0,0.0,0.21193537393673084,0.0,0.0,0.6,0.0,0.24307692307692308,0.19776295370142752,0.0,0.24307692307692308,0.4584615384615385,0.0,0.060437493957579136,1.1692070960998535,43.533724784851074
-65.0,0.0,0.4,0.16712608536832435,0.2,0.4,0.6,0.0,0.5046153846153846,0.1881266112119663,0.006153846153846154,0.5046153846153846,0.5476923076923077,0.0,0.06360781544988806,1.1691489219665527,43.523327112197876
-65.0,0.0,0.4,0.21878723982315482,0.0,0.4,0.6,0.0,0.4430769230769231,0.2113000179109127,0.0,0.4430769230769231,0.6,0.0,0.05907832519574599,1.1685981750488281,43.53405690193176
-62.6,0.2,0.2,0.13532848887715823,0.2,0.2,0.6,0.2,0.24615384615384617,0.17245895125242047,0.06461538461538462,0.24615384615384617,0.39692307692307693,0.036923076923076927,0.05535453608767553,1.1705400943756104,43.58983087539673
-61.0,0.2,0.8,0.15280559460592333,0.2,0.8,0.6,0.2,0.84,0.18060678800946015,0.08307692307692308,0.84,0.4523076923076923,0.06153846153846154,0.0537112515589053,1.1690058708190918,43.52464699745178
-64.0,0.2,0.8,0.12975544851308013,0.6,0.8,0.8,0.2,0.5723076923076923,0.16928368524292056,0.16,0.5723076923076923,0.5876923076923077,0.015384615384615385,0.054401738569140434,1.174030065536499,43.52877712249756
-65.0,0.0,0.0,0.1853392744327783,0.0,0.0,0.2,0.0,0.20615384615384616,0.19344872318918913,0.0,0.20615384615384616,0.2,0.0,0.05435130206698721,1.1698129177093506,43.560609102249146
-65.0,0.0,0.0,0.20308234773771988,0.0,0.0,0.4,0.0,0.24307692307692308,0.1982574707538569,0.0,0.24307692307692308,0.2153846153846154,0.0,0.05335317069495266,1.16898775100708,43.539748191833496
-65.0,0.0,0.0,0.20163620435511734,0.0,0.0,0.2,0.0,0.17846153846153845,0.2068523925687421,0.0,0.17846153846153845,0.31076923076923074,0.0,0.05358941622755744,1.1693971157073975,43.53000211715698
-62.4,0.4,0.4,0.11980343944348182,0.4,0.4,0.6,0.4,0.38769230769230767,0.1567380579436237,0.1076923076923077,0.38769230769230767,0.56,0.04,0.053089267675849525,1.1705551147460938,43.51794099807739
-65.0,0.0,0.4,0.1977701964845468,0.0,0.4,0.4,0.0,0.39076923076923076,0.18753836056936993,0.0,0.39076923076923076,0.4,0.0,0.04960695903070948,1.1692790985107422,43.63938903808594
-65.0,0.0,0.0,0.1939102065201505,0.0,0.0,0.4,0.0,0.15384615384615385,0.19432315514208004,0.0,0.15384615384615385,0.44,0.0,0.04721972405571829,1.1696100234985352,43.55478096008301
-52.4,0.6,0.0,0.1176529216355727,0.6,0.0,0.8,0.6,0.47692307692307695,0.17162268008417722,0.2553846153846154,0.47692307692307695,0.6523076923076923,0.19384615384615383,0.049984572743150324,1.1687629222869873,43.52916598320007
-60.2,0.2,0.2,0.15981039446789647,0.2,0.2,0.6,0.2,0.25846153846153846,0.17069264713544485,0.07076923076923076,0.25846153846153846,0.6,0.07384615384615385,0.0517890223894607,1.1698031425476074,43.55043005943298
